pmid	title	abstract	authors	journal	pub_date	doi	keywords	mesh_terms	pub_types
37706265	Prospects and challenges of CRISPR/Cas9 gene-editing technology in cancer research					10.1111/cge.14424			
38860140	Designing cytochrome P450 enzymes for use in cancer gene therapy					10.3389/fbioe.2024.1405466			
33776419	The current status of gene therapy for the treatment of cancer					10.2147/BTT.S302095			
40801569	Nanotechnology-based delivery of CRISPR/Cas9 for cancer treatment: a comprehensive review					10.3390/cells14151136			
	Nanotechnology-based CRISPR/Cas9 delivery system for genome editing in cancer treatment								
32596104	Innovative precision gene-editing tools in personalized cancer medicine					10.1002/advs.201902552			
34983972	Drug delivery systems for RNA therapeutics					10.1038/s41576-021-00439-4			
33003607	Scaffold-Mediated Gene Delivery for Osteochondral Repair					10.3390/pharmaceutics12100930			
35195645	Overcoming barriers in non-viral gene delivery for neurological applications					10.1039/d1nr06939j			
33454852	3D printed bioconstructs: regenerative modulation for genetic expression					10.1007/s12015-021-10120-2			
40149668	Theoretical models and simulations of gene delivery with polyurethane: the importance of polyurethane as a vector in personalized therapy					10.3390/biomedicines13030692			
39490518	Nanostructured photonics Probes: A transformative approach in neurotherapeutics and brain circuitry					10.1016/j.neuroscience.2024.10.046			
39961549	Unlocking new frontiers in healthcare: The impact of nano-optical biosensors on personalized medical diagnostics					10.1016/j.jbiotec.2025.02.005			
39979233	Optical spectroscopy of cerebral blood flow for tissue interrogation in ischemic stroke diagnosis					10.1021/acschemneuro.4c00809			
29937048	Applications of CRISPR-Cas enzymes in cancer therapeutics and detection					10.1016/j.trecan.2018.05.006			
35551240	Enhancing CRISPR/Cas gene editing through modulating cellular mechanical properties for cancer therapy					10.1038/s41565-022-01122-3			
34499483	Linear-dendritic polymer-platinum complexes forming well-defined nanocapsules for acid-responsive drug delivery					10.1021/acsami.1c12156			
35410257	Reprogramming the tumor microenvironment by genome editing for precision cancer therapy					10.1186/s12943-022-01561-5			
29269874	Fabrication of pH-responsive PLGA(UCNPs/DOX) nanocapsules with upconversion luminescence for drug delivery					10.1038/s41598-017-16948-4			
39573938	Interfacial engineering of biocompatible nanocapsules for near-infrared-triggered drug release and photothermal therapy					10.1002/advs.202410844			
39380278	CRISPR-Cas9 guided RNA-based model for the silencing of spinal bulbar muscular atrophy: A functional genetic disorder					10.14715/cmb/2024.70.9.10			
36441188	Hydrolytic Quinoa protein and cationic lotus root starch-based micelles for co-delivery of Quercetin and Epigallo-catechin 3-Gallate in Ulcerative Colitis Treatment					10.1021/acs.jafc.2c06376			
37376051	Eudragit® FS microparticles containing bacteriophages, prepared by spray-drying for oral administration					10.3390/pharmaceutics15061602			
